time,fabrikkanal_pegel_oberwasser_m,fabrikkanal_q_m3s
2025-01-01T00:00:00,486.747,14.94
2025-01-01T00:15:00,486.747,14.947
2025-01-01T00:30:00,486.746,14.968
2025-01-01T00:45:00,486.746,14.934
2025-01-01T01:00:00,486.746,14.885
2025-01-01T01:15:00,486.746,14.846
2025-01-01T01:30:00,486.746,14.927
2025-01-01T01:45:00,486.745,14.955
2025-01-01T02:00:00,486.747,14.947
2025-01-01T02:15:00,486.746,14.952
2025-01-01T02:30:00,486.745,14.95
2025-01-01T02:45:00,486.746,14.882
2025-01-01T03:00:00,486.746,14.883
2025-01-01T03:15:00,486.748,15.137
2025-01-01T03:30:00,486.747,15.436
2025-01-01T03:45:00,486.746,15.391
2025-01-01T04:00:00,486.746,15.312
2025-01-01T04:15:00,486.746,15.271
2025-01-01T04:30:00,486.746,15.285
2025-01-01T04:45:00,486.748,15.402
2025-01-01T05:00:00,486.751,16.08
2025-01-01T05:15:00,486.75,16.913
2025-01-01T05:30:00,486.746,17.162
2025-01-01T05:45:00,486.745,16.977
2025-01-01T06:00:00,486.746,16.985
2025-01-01T06:15:00,486.747,17.021
2025-01-01T06:30:00,486.746,17.16
2025-01-01T06:45:00,486.746,17.047
2025-01-01T07:00:00,486.747,17.001
2025-01-01T07:15:00,486.747,17.035
2025-01-01T07:30:00,486.746,17.123
2025-01-01T07:45:00,486.746,17.002
2025-01-01T08:00:00,486.747,17.017
2025-01-01T08:15:00,486.747,17.044
2025-01-01T08:30:00,486.746,17.086
2025-01-01T08:45:00,486.746,17.046
2025-01-01T09:00:00,486.746,17.078
2025-01-01T09:15:00,486.746,17.05
2025-01-01T09:30:00,486.746,17.069
2025-01-01T09:45:00,486.746,17.019
2025-01-01T10:00:00,486.747,17.1
2025-01-01T10:15:00,486.746,17.129
2025-01-01T10:30:00,486.746,17.087
2025-01-01T10:45:00,486.747,17.24
2025-01-01T11:00:00,486.746,17.284
2025-01-01T11:15:00,486.746,17.199
2025-01-01T11:30:00,486.745,17.211
2025-01-01T11:45:00,486.746,17.217
2025-01-01T12:00:00,486.746,17.238
2025-01-01T12:15:00,486.746,17.242
2025-01-01T12:30:00,486.746,17.255
2025-01-01T12:45:00,486.746,17.248
2025-01-01T13:00:00,486.745,17.254
2025-01-01T13:15:00,486.745,17.251
2025-01-01T13:30:00,486.745,17.226
2025-01-01T13:45:00,486.744,17.235
2025-01-01T14:00:00,486.745,17.2
2025-01-01T14:15:00,486.745,17.201
2025-01-01T14:30:00,486.745,17.282
2025-01-01T14:45:00,486.746,17.273
2025-01-01T15:00:00,486.745,17.185
2025-01-01T15:15:00,486.745,17.184
2025-01-01T15:30:00,486.745,17.135
2025-01-01T15:45:00,486.745,17.096
2025-01-01T16:00:00,486.745,17.136
2025-01-01T16:15:00,486.744,17.041
2025-01-01T16:30:00,486.745,16.862
2025-01-01T16:45:00,486.745,16.754
2025-01-01T17:00:00,486.744,16.57
2025-01-01T17:15:00,486.744,16.206
2025-01-01T17:30:00,486.745,16.097
2025-01-01T17:45:00,486.744,15.687
2025-01-01T18:00:00,486.745,15.279
2025-01-01T18:15:00,486.745,15.221
2025-01-01T18:30:00,486.746,15.147
2025-01-01T18:45:00,486.746,15.22
2025-01-01T19:00:00,486.745,15.196
2025-01-01T19:15:00,486.744,14.979
2025-01-01T19:30:00,486.745,14.762
2025-01-01T19:45:00,486.746,14.89
2025-01-01T20:00:00,486.746,14.874
2025-01-01T20:15:00,486.745,14.729
2025-01-01T20:30:00,486.746,14.738
2025-01-01T20:45:00,486.746,14.763
2025-01-01T21:00:00,486.746,14.838
2025-01-01T21:15:00,486.746,14.828
2025-01-01T21:30:00,486.746,14.767
2025-01-01T21:45:00,486.745,14.721
2025-01-01T22:00:00,486.746,14.635
2025-01-01T22:15:00,486.746,14.638
2025-01-01T22:30:00,486.746,14.646
2025-01-01T22:45:00,486.746,14.655
2025-01-01T23:00:00,486.746,14.645
2025-01-01T23:15:00,486.746,14.645
2025-01-01T23:30:00,486.746,14.667
2025-01-01T23:45:00,486.747,14.764
2025-01-02T00:00:00,486.745,14.664
2025-01-02T00:15:00,486.746,14.633
2025-01-02T00:30:00,486.746,14.664
2025-01-02T00:45:00,486.746,14.68
2025-01-02T01:00:00,486.746,14.71
2025-01-02T01:15:00,486.746,14.732
2025-01-02T01:30:00,486.746,14.726
2025-01-02T01:45:00,486.746,14.668
2025-01-02T02:00:00,486.746,14.659
2025-01-02T02:15:00,486.745,14.621
2025-01-02T02:30:00,486.746,14.639
2025-01-02T02:45:00,486.746,14.556
2025-01-02T03:00:00,486.746,14.574
2025-01-02T03:15:00,486.746,14.575
2025-01-02T03:30:00,486.746,14.572
