time,fabrikkanal_q_m3s
2026-01-01T00:00:00,6.743
2026-01-01T00:15:00,6.739
2026-01-01T00:30:00,6.793
2026-01-01T00:45:00,6.736
2026-01-01T01:00:00,6.738
2026-01-01T01:15:00,6.691
2026-01-01T01:30:00,6.721
2026-01-01T01:45:00,6.807
2026-01-01T02:00:00,6.816
2026-01-01T02:15:00,6.753
2026-01-01T02:30:00,6.769
2026-01-01T02:45:00,6.746
2026-01-01T03:00:00,6.809
2026-01-01T03:15:00,6.844
2026-01-01T03:30:00,6.807
2026-01-01T03:45:00,6.703
2026-01-01T04:00:00,6.668
2026-01-01T04:15:00,6.74
2026-01-01T04:30:00,6.772
2026-01-01T04:45:00,6.784
2026-01-01T05:00:00,6.801
2026-01-01T05:15:00,6.739
2026-01-01T05:30:00,6.689
2026-01-01T05:45:00,6.762
2026-01-01T06:00:00,6.771
2026-01-01T06:15:00,6.767
2026-01-01T06:30:00,6.726
2026-01-01T06:45:00,6.69
2026-01-01T07:00:00,6.677
2026-01-01T07:15:00,6.735
2026-01-01T07:30:00,6.725
2026-01-01T07:45:00,6.775
2026-01-01T08:00:00,6.76
2026-01-01T08:15:00,6.774
2026-01-01T08:30:00,6.887
2026-01-01T08:45:00,7.017
2026-01-01T09:00:00,7.263
2026-01-01T09:15:00,7.317
2026-01-01T09:30:00,7.26
2026-01-01T09:45:00,7.264
2026-01-01T10:00:00,7.25
2026-01-01T10:15:00,7.246
2026-01-01T10:30:00,7.348
2026-01-01T10:45:00,7.368
2026-01-01T11:00:00,7.4
2026-01-01T11:15:00,7.454
2026-01-01T11:30:00,7.403
2026-01-01T11:45:00,7.425
2026-01-01T12:00:00,7.421
2026-01-01T12:15:00,7.409
2026-01-01T12:30:00,7.368
2026-01-01T12:45:00,7.402
2026-01-01T13:00:00,7.387
2026-01-01T13:15:00,7.405
2026-01-01T13:30:00,7.521
2026-01-01T13:45:00,7.502
2026-01-01T14:00:00,7.508
2026-01-01T14:15:00,7.457
2026-01-01T14:30:00,7.449
