time,percent
2026-08-07T23:51:00+02:00,34.3
2026-08-07T23:56:00+02:00,33.9
2026-08-08T00:01:00+02:00,33.5
2026-08-08T00:06:00+02:00,33.3
2026-08-08T00:11:00+02:00,34.1
2026-08-08T00:16:00+02:00,33.5
2026-08-08T00:21:00+02:00,34.3
2026-08-08T00:26:00+02:00,34.1
2026-08-08T00:31:00+02:00,34.9
2026-08-08T00:36:00+02:00,34.9
2026-08-08T00:41:00+02:00,35.3
2026-08-08T00:46:00+02:00,35.3
2026-08-08T00:51:00+02:00,35.3
2026-08-08T00:56:00+02:00,35.1
2026-08-08T01:01:00+02:00,35.1
2026-08-08T01:06:00+02:00,35.1
2026-08-08T01:11:00+02:00,35.1
2026-08-08T01:16:00+02:00,35.1
2026-08-08T01:21:00+02:00,35.1
2026-08-08T01:26:00+02:00,35.1
2026-08-08T01:31:00+02:00,35.1
2026-08-08T01:36:00+02:00,35.1
2026-08-08T01:41:00+02:00,35.1
2026-08-08T01:46:00+02:00,35.1
2026-08-08T01:51:00+02:00,35.3
2026-08-08T01:56:00+02:00,35.3
2026-08-08T02:01:00+02:00,35.1
2026-08-08T02:06:00+02:00,34.5
2026-08-08T02:11:00+02:00,34.9
2026-08-08T02:16:00+02:00,34.9
2026-08-08T02:21:00+02:00,34.9
2026-08-08T02:26:00+02:00,34.7
2026-08-08T02:31:00+02:00,34.5
2026-08-08T02:36:00+02:00,34.5
2026-08-08T02:41:00+02:00,34.5
2026-08-08T02:46:00+02:00,34.5
2026-08-08T02:51:00+02:00,34.1
2026-08-08T02:56:00+02:00,33.9
2026-08-08T03:01:00+02:00,34.5
2026-08-08T03:06:00+02:00,34.5
2026-08-08T03:11:00+02:00,34.5
2026-08-08T03:16:00+02:00,34.5
2026-08-08T03:21:00+02:00,34.5
2026-08-08T03:26:00+02:00,34.5
2026-08-08T03:31:00+02:00,34.5
2026-08-08T03:36:00+02:00,34.5
2026-08-08T03:41:00+02:00,34.5
2026-08-08T03:46:00+02:00,33.9
2026-08-08T03:51:00+02:00,33.9
2026-08-08T03:56:00+02:00,33.9
2026-08-08T04:06:00+02:00,33.1
2026-08-08T04:11:00+02:00,33.3
2026-08-08T04:16:00+02:00,32.3
2026-08-08T04:21:00+02:00,32.2
2026-08-08T04:26:00+02:00,31.9
2026-08-08T04:31:00+02:00,31.0
2026-08-08T04:36:00+02:00,31.5
2026-08-08T04:41:00+02:00,30.5
2026-08-08T04:46:00+02:00,29.8
2026-08-08T04:51:00+02:00,30.9
2026-08-08T04:56:00+02:00,30.7
2026-08-08T05:01:00+02:00,30.7
2026-08-08T05:06:00+02:00,30.1
2026-08-08T05:11:00+02:00,29.9
2026-08-08T05:16:00+02:00,29.9
2026-08-08T05:21:00+02:00,29.8
2026-08-08T05:26:00+02:00,30.0
2026-08-08T05:31:00+02:00,30.0
2026-08-08T05:36:00+02:00,28.7
2026-08-08T05:41:00+02:00,27.5
2026-08-08T05:46:00+02:00,27.5
2026-08-08T05:51:00+02:00,27.6
2026-08-08T05:56:00+02:00,26.5
2026-08-08T06:01:00+02:00,25.5
2026-08-08T06:06:00+02:00,25.3
2026-08-08T06:11:00+02:00,24.3
2026-08-08T06:16:00+02:00,24.1
2026-08-08T06:21:00+02:00,23.6
2026-08-08T06:26:00+02:00,23.8
2026-08-08T06:31:00+02:00,23.9
2026-08-08T06:36:00+02:00,22.9
2026-08-08T06:41:00+02:00,23.2
2026-08-08T06:46:00+02:00,22.5
2026-08-08T06:51:00+02:00,22.8
2026-08-08T06:56:00+02:00,22.7
2026-08-08T07:01:00+02:00,22.3
2026-08-08T07:06:00+02:00,22.7
2026-08-08T07:11:00+02:00,28.8
2026-08-08T07:16:00+02:00,21.9
2026-08-08T07:21:00+02:00,22.6
2026-08-08T07:26:00+02:00,22.5
2026-08-08T07:31:00+02:00,22.4
2026-08-08T07:36:00+02:00,22.5
2026-08-08T07:41:00+02:00,21.8
2026-08-08T07:46:00+02:00,21.9
2026-08-08T07:51:00+02:00,21.9
2026-08-08T07:56:00+02:00,22.5
2026-08-08T08:01:00+02:00,22.5
2026-08-08T08:06:00+02:00,21.9
2026-08-08T08:11:00+02:00,22.5
2026-08-08T08:16:00+02:00,21.9
2026-08-08T08:21:00+02:00,22.5
2026-08-08T08:26:00+02:00,22.7
2026-08-08T08:31:00+02:00,22.7
2026-08-08T08:36:00+02:00,22.7
2026-08-08T08:41:00+02:00,22.7
2026-08-08T08:46:00+02:00,22.7
2026-08-08T08:51:00+02:00,23.5
2026-08-08T08:56:00+02:00,24.3
2026-08-08T09:01:00+02:00,23.3
2026-08-08T09:06:00+02:00,21.6
2026-08-08T09:11:00+02:00,20.4
2026-08-08T09:16:00+02:00,19.7
2026-08-08T09:21:00+02:00,20.3
2026-08-08T09:26:00+02:00,19.7
2026-08-08T09:31:00+02:00,20.3
2026-08-08T09:36:00+02:00,19.2
2026-08-08T09:41:00+02:00,19.1
2026-08-08T09:46:00+02:00,19.1
2026-08-08T09:51:00+02:00,19.1
2026-08-08T09:56:00+02:00,18.7
2026-08-08T10:01:00+02:00,19.2
2026-08-08T10:06:00+02:00,19.9
2026-08-08T10:11:00+02:00,18.0
2026-08-08T10:16:00+02:00,18.0
2026-08-08T10:21:00+02:00,17.5
2026-08-08T10:26:00+02:00,18.8
2026-08-08T10:31:00+02:00,17.0
2026-08-08T10:36:00+02:00,19.3
2026-08-08T10:41:00+02:00,19.3
2026-08-08T10:46:00+02:00,19.3
2026-08-08T10:51:00+02:00,19.4
2026-08-08T10:56:00+02:00,19.3
2026-08-08T11:01:00+02:00,18.7
2026-08-08T11:06:00+02:00,18.8
2026-08-08T11:11:00+02:00,16.6
2026-08-08T11:16:00+02:00,16.1
2026-08-08T11:21:00+02:00,18.8
2026-08-08T11:26:00+02:00,16.8
2026-08-08T11:31:00+02:00,19.0
2026-08-08T11:36:00+02:00,20.2
2026-08-08T11:41:00+02:00,19.2
2026-08-08T11:46:00+02:00,19.7
2026-08-08T11:51:00+02:00,19.6
2026-08-08T11:56:00+02:00,19.6
2026-08-08T12:01:00+02:00,18.4
2026-08-08T12:06:00+02:00,19.6
2026-08-08T12:11:00+02:00,17.8
2026-08-08T12:16:00+02:00,19.0
2026-08-08T12:21:00+02:00,17.8
2026-08-08T12:26:00+02:00,18.6
2026-08-08T12:31:00+02:00,17.8
2026-08-08T12:36:00+02:00,16.7
2026-08-08T12:41:00+02:00,19.0
2026-08-08T12:46:00+02:00,16.2
2026-08-08T12:51:00+02:00,16.2
2026-08-08T12:56:00+02:00,19.8
2026-08-08T13:01:00+02:00,19.6
2026-08-08T13:06:00+02:00,12.9
2026-08-08T13:11:00+02:00,15.6
2026-08-08T13:16:00+02:00,16.2
2026-08-08T13:21:00+02:00,16.2
2026-08-08T13:26:00+02:00,18.6
2026-08-08T13:31:00+02:00,19.3
2026-08-08T13:36:00+02:00,16.5
2026-08-08T13:41:00+02:00,18.7
2026-08-08T13:46:00+02:00,19.3
2026-08-08T13:51:00+02:00,18.6
2026-08-08T13:56:00+02:00,15.6
2026-08-08T14:01:00+02:00,20.7
2026-08-08T14:06:00+02:00,17.5
2026-08-08T14:11:00+02:00,15.6
2026-08-08T14:16:00+02:00,16.4
2026-08-08T14:21:00+02:00,19.9
2026-08-08T14:26:00+02:00,19.9
2026-08-08T14:31:00+02:00,27.8
2026-08-08T14:36:00+02:00,18.7
2026-08-08T14:41:00+02:00,13.8
2026-08-08T14:46:00+02:00,18.7
2026-08-08T14:51:00+02:00,21.2
2026-08-08T14:56:00+02:00,19.3
2026-08-08T15:01:00+02:00,18.7
2026-08-08T15:06:00+02:00,16.3
2026-08-08T15:11:00+02:00,18.7
2026-08-08T15:16:00+02:00,14.3
2026-08-08T15:21:00+02:00,16.4
2026-08-08T15:26:00+02:00,14.0
2026-08-08T15:31:00+02:00,19.3
2026-08-08T15:36:00+02:00,12.2
2026-08-08T15:41:00+02:00,19.9
2026-08-08T15:46:00+02:00,13.4
2026-08-08T15:51:00+02:00,12.7
2026-08-08T15:56:00+02:00,16.4
2026-08-08T16:01:00+02:00,28.1
2026-08-08T16:06:00+02:00,13.4
2026-08-08T16:11:00+02:00,20.5
2026-08-08T16:16:00+02:00,19.5
2026-08-08T16:21:00+02:00,14.3
